loan_id,age,income,loan_amount,loan_term,interest_rate,employment_years,num_accounts,num_delinquencies,credit_score,employment_type,home_ownership,loan_purpose,default
1,52,49406,99112,12,5.0088812723857234,5.0,10,1.0,804,Self-Employed,Own,Auto,1
2,42,48664,127087,24,5.920682453297981,0.0,5,0.0,557,Employed,Rent,Business,0
3,54,15108,105196,60,4.743492441427696,8.0,7,0.0,700,Self-Employed,Own,Business,0
4,67,51747,158281,24,3.5205346600855525,0.0,9,2.0,692,Self-Employed,Own,Business,0
5,41,78320,239788,60,6.482385157933603,10.0,9,1.0,688,Self-Employed,Rent,Debt Consolidation,0
6,41,28144,92171,60,6.899446236966563,4.0,12,2.0,687,Self-Employed,Rent,Home Improvement,0
7,68,86212,225061,60,5.865052792611097,4.0,11,3.0,552,Unemployed,Mortgage,Auto,0
8,56,72194,91374,48,1.4561136726741797,8.0,6,1.0,819,Self-Employed,Rent,Auto,1
9,37,41644,86427,60,4.038521385862447,9.0,2,0.0,745,Employed,Rent,Home Improvement,0
10,53,56461,211394,48,3.3897748475121885,12.0,6,0.0,697,Self-Employed,Own,Auto,0
11,38,99958,219145,36,9.827745900265054,6.0,1,3.0,516,Self-Employed,Rent,Debt Consolidation,0
12,38,78338,213855,12,5.794735181908356,7.0,11,0.0,552,Unemployed,Mortgage,Business,0
13,48,60219,51315,24,4.799429544753108,1.0,11,0.0,715,Unemployed,Mortgage,Home Improvement,0
14,18,54057,115053,24,4.103204365365034,15.0,13,0.0,449,Unemployed,Rent,Business,0
15,19,61915,211724,36,5.187860232231236,3.0,2,2.0,683,Self-Employed,Rent,Auto,0
16,36,47205,153115,60,7.378833552883318,11.0,12,0.0,516,Employed,Own,Education,0
17,29,10000,69473,12,0.9252403470915116,11.0,3,2.0,563,Unemployed,Rent,Auto,0
18,49,111054,184373,36,6.075413305017999,9.0,5,0.0,508,Self-Employed,Own,Auto,0
19,31,63883,96389,36,4.238511103127387,6.0,10,0.0,674,Self-Employed,Rent,Home Improvement,0
20,23,69953,284589,24,6.576675298376754,6.0,1,1.0,761,Self-Employed,Own,Business,0
21,66,58552,265863,48,7.4977536600547205,7.0,12,1.0,684,Unemployed,Mortgage,Home Improvement,0
22,41,41622,195307,48,3.761199624491488,0.0,10,2.0,695,Self-Employed,Rent,Debt Consolidation,0
23,46,55351,252075,60,2.076994999788772,7.0,13,2.0,666,Unemployed,Rent,Business,0
24,23,20015,154859,60,4.738997649703747,15.0,14,1.0,718,Self-Employed,Own,Debt Consolidation,0
25,36,116927,207407,36,8.717670445952932,6.0,13,3.0,696,Employed,Own,Debt Consolidation,0
26,46,29137,260829,60,7.589143127955678,7.0,13,2.0,378,Employed,Rent,Home Improvement,0
27,27,34200,168412,48,4.555942946006739,2.0,5,1.0,740,Self-Employed,Own,Auto,0
28,50,48993,130860,12,3.9129021892776903,8.0,5,3.0,730,Unemployed,Rent,Education,0
29,35,92201,22153,24,4.101626300489207,4.0,4,2.0,613,Self-Employed,Mortgage,Auto,0
30,40,60362,143764,48,2.2559361570479357,12.0,3,0.0,452,Employed,Own,Auto,0
31,35,29096,211756,60,7.461935076317271,13.0,7,2.0,674,Self-Employed,Rent,Business,1
32,72,91358,220922,24,7.918540877986727,14.0,11,1.0,682,Unemployed,Mortgage,Home Improvement,0
33,44,78275,187827,24,4.532156058373545,0.0,7,0.0,605,Unemployed,Rent,Business,0
34,29,73460,109402,36,4.248296500477821,11.0,1,0.0,668,Unemployed,Rent,Education,1
35,57,77893,5000,60,3.75431550942157,11.0,7,0.0,757,Unemployed,Mortgage,Home Improvement,1
36,26,119859,112858,36,4.374086463973912,5.0,3,1.0,850,Employed,Own,Auto,0
37,48,114627,127174,24,3.6620660953165522,13.0,13,3.0,664,Unemployed,Mortgage,Debt Consolidation,0
38,18,42832,126530,36,5.111990217833105,10.0,3,0.0,683,Unemployed,Rent,Auto,1
39,25,100597,196391,60,7.465990882622837,14.0,6,2.0,567,Employed,Mortgage,Auto,1
40,47,69579,298925,48,7.208397058742589,1.0,6,1.0,599,Unemployed,Rent,Home Improvement,0
41,56,72477,159264,12,3.403273138641217,4.0,11,0.0,636,Employed,Mortgage,Auto,0
42,47,17693,133745,48,5.87952428453878,8.0,13,1.0,767,Unemployed,Own,Education,0
43,43,55740,130558,24,7.115377723390312,13.0,4,0.0,731,Unemployed,Mortgage,Auto,0
44,40,39679,159328,48,3.1505292291627387,10.0,5,1.0,842,Unemployed,Mortgage,Debt Consolidation,0
45,22,80701,87877,36,5.853542431427506,3.0,3,1.0,500,Unemployed,Own,Home Improvement,0
46,34,86777,159014,60,8.534114635491195,16.0,3,3.0,517,Self-Employed,Rent,Education,0
47,38,10000,183810,48,4.887774837376403,,9,1.0,760,Self-Employed,Mortgage,Home Improvement,1
48,60,59449,165726,48,0.4552443088448932,3.0,5,1.0,794,Unemployed,Rent,Debt Consolidation,1
49,50,88046,184315,60,0.5,4.0,1,0.0,653,Unemployed,Mortgage,Business,0
50,18,55333,182531,36,6.277031840124888,1.0,9,2.0,300,Unemployed,Own,Education,0
51,49,78226,17107,12,5.76629144080977,0.0,10,0.0,575,Self-Employed,Mortgage,Debt Consolidation,0
52,39,68779,197765,48,5.9693370381763335,7.0,6,0.0,683,Unemployed,Rent,Business,1
53,34,68541,99673,24,6.723218684624523,0.0,9,0.0,560,Employed,Rent,Debt Consolidation,0
54,54,53217,67812,36,1.8013666672756434,9.0,14,0.0,668,Self-Employed,Own,Business,0
55,60,29585,67166,36,3.4829701157959105,12.0,11,0.0,839,Self-Employed,Rent,Business,0
56,58,31961,182515,48,6.5576586028116255,9.0,7,0.0,792,Self-Employed,Own,Home Improvement,0
57,32,77733,133306,60,7.339659359404838,8.0,11,0.0,730,Unemployed,Own,Auto,0
58,40,60486,23852,48,4.8577869272405865,0.0,10,0.0,643,Employed,Rent,Auto,0
59,49,56537,185852,48,1.9193062856699616,12.0,10,0.0,600,Self-Employed,Rent,Debt Consolidation,0
60,59,49402,42029,60,6.349909476892282,17.0,7,0.0,725,Employed,Own,Business,0
61,37,52370,160486,24,5.627835416557209,15.0,5,3.0,652,Employed,Rent,Auto,0
62,42,86172,167887,60,2.854378433680198,1.0,7,0.0,655,Employed,Own,Debt Consolidation,0
63,28,51618,216418,48,0.5409147682840665,7.0,10,2.0,494,Unemployed,Mortgage,Debt Consolidation,0
64,27,26473,283626,12,6.928129246616546,6.0,4,0.0,578,Unemployed,Rent,Education,0
65,57,78591,47649,60,3.956368972485988,6.0,11,3.0,725,Unemployed,Rent,Home Improvement,0
66,65,54878,146064,24,5.9667449114855655,8.0,11,3.0,539,Self-Employed,Own,Home Improvement,1
67,43,60784,129274,60,5.873898994092931,18.0,6,0.0,676,Self-Employed,Mortgage,Business,0
68,60,100189,182531,60,2.6326787191614205,8.0,2,0.0,691,Employed,Mortgage,Auto,0
69,50,59485,166175,36,6.5446600654986025,5.0,14,2.0,697,Self-Employed,Rent,Business,1
70,35,67229,123559,36,3.350530895071261,9.0,10,3.0,706,Unemployed,Own,Auto,0
71,50,30526,116932,48,1.7615445438781858,1.0,3,0.0,712,Unemployed,Own,Auto,0
72,68,54508,66266,48,1.4413038131095242,4.0,2,0.0,587,Unemployed,Rent,Auto,0
73,44,75238,224089,60,5.491907823165876,12.0,13,0.0,503,Unemployed,Mortgage,Auto,0
74,68,21115,184440,12,9.485255800023282,8.0,10,1.0,562,Employed,Own,Auto,0
75,18,65021,218832,48,5.602554390608658,18.0,2,1.0,722,Self-Employed,Own,Education,0
76,57,62519,126720,60,9.95789612895907,9.0,7,0.0,529,Unemployed,Rent,Education,0
77,46,61032,100737,60,9.122054544468135,1.0,5,0.0,545,Employed,Rent,Auto,0
78,40,85928,69126,60,6.790714743518436,0.0,13,0.0,545,Self-Employed,Mortgage,Debt Consolidation,0
79,46,68360,176918,60,9.436228251162987,13.0,13,0.0,465,Employed,Mortgage,Debt Consolidation,0
80,18,96951,72015,60,9.153429968769032,2.0,6,0.0,535,Unemployed,Own,Home Improvement,1
81,41,35160,288649,36,8.446739961798157,2.0,3,2.0,750,Unemployed,Rent,Auto,0
82,50,63398,51926,24,0.7891749526178877,5.0,10,2.0,578,Unemployed,Rent,Debt Consolidation,0
83,67,62111,170524,24,4.90814038087019,12.0,5,0.0,475,Self-Employed,Rent,Home Improvement,0
84,37,33268,267514,60,3.765758207278248,6.0,5,0.0,598,Unemployed,Mortgage,Debt Consolidation,0
85,32,83907,194931,48,8.427826116036806,3.0,11,,701,Self-Employed,Mortgage,Home Improvement,0
86,37,118116,163175,12,4.731873778831547,14.0,4,0.0,466,Employed,Own,Business,0
87,58,59574,77363,60,9.880774924277247,13.0,10,0.0,745,Self-Employed,Rent,Debt Consolidation,0
88,49,72625,46367,12,5.7539058304785105,16.0,4,,505,Employed,Mortgage,Auto,0
89,37,62112,207753,36,5.430119674378543,14.0,12,0.0,610,Self-Employed,Rent,Auto,0
90,52,42160,262961,24,4.553380832749912,13.0,13,0.0,609,Unemployed,Mortgage,Education,0
91,46,14480,117086,36,5.038462996235638,4.0,8,0.0,593,Unemployed,Rent,Business,0
92,59,42355,64570,48,6.1718617985800215,11.0,6,1.0,643,Employed,Own,Business,0
93,34,25201,5000,48,5.334803917274227,14.0,11,1.0,727,Self-Employed,Mortgage,Debt Consolidation,1
94,40,102602,76442,60,4.3378250760662045,17.0,2,0.0,645,Self-Employed,Mortgage,Home Improvement,0
95,39,57122,141475,48,4.485935088484487,8.0,2,0.0,589,Employed,Own,Education,1
96,23,51352,269934,48,10.052549433137969,5.0,2,2.0,695,Self-Employed,Own,Business,0
97,49,82228,200485,36,10.493779258730513,3.0,6,0.0,670,Self-Employed,Rent,Business,0
98,48,31956,172881,12,4.3230062757303225,12.0,12,0.0,583,Employed,Mortgage,Auto,0
